seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
2,16,4,small,medium,ours,true,2.8,2.815975875,1,10,0.2761,0.2761,935864.0,935864.0,935864.0,935864.0,0.0,0.0
2,16,4,small,medium,ours,false,4.351,4.367413917,1,11,0.39327272727272733,0.39327272727272733,935864.0,935864.0,935864.0,935864.0,0.0,0.0
3,16,4,small,medium,ours,true,9.684,9.703952083,1,14,0.6881428571428572,0.6881428571428572,648910.0,648910.0,649010.0,649010.0,0.015408083080381552,0.015408083080381552
3,16,4,small,medium,ours,false,29.77,29.789819,1,14,2.122928571428571,2.122928571428571,648910.0,648910.0,649010.0,649010.0,0.015408083080381552,0.015408083080381552
4,16,4,small,medium,ours,true,5.923,5.941866125,1,10,0.5887,0.5887,535531.0,535531.0,535531.0,535531.0,0.0,0.0
4,16,4,small,medium,ours,false,14.454,14.472681666,1,10,1.4415,1.4415,535531.0,535531.0,535531.0,535531.0,0.0,0.0
5,16,4,small,medium,ours,true,11.659,11.680284625,1,15,0.7722,0.7722,630044.0,630044.0,633472.0,633472.0,0.5411446756920624,0.5411446756920624
5,16,4,small,medium,ours,false,21.554,21.581537541,1,11,1.9555454545454545,1.9555454545454545,630044.0,630044.0,633472.0,633472.0,0.5411446756920624,0.5411446756920624
6,16,4,small,medium,ours,true,5.897,6.848985959,2,14,0.48833333333333334,0.45199999999999996,704872.0,705972.0,712344.0,712344.0,1.0489314151589713,0.894511640443385
6,16,4,small,medium,ours,false,13.847,17.23281675,2,16,1.0610769230769233,1.1113333333333333,704872.0,705972.0,712344.0,712344.0,1.0489314151589713,0.894511640443385
7,16,4,small,medium,ours,true,3.998,4.015632375,1,13,0.305076923076923,0.305076923076923,694919.9999999999,694919.9999999999,695530.0,695530.0,0.08770290282232862,0.08770290282232862
7,16,4,small,medium,ours,false,6.646,9.345152125,3,15,0.6617999999999999,0.522,694606.6666666667,694920.0,695530.0,695530.0,0.13275248132118556,0.08770290282230642
8,16,4,small,medium,ours,true,10.832,10.851994333,1,11,0.9808181818181818,0.9808181818181818,678792.0,678792.0,678792.0,678792.0,0.0,0.0
8,16,4,small,medium,ours,false,25.181,25.200177542,1,12,2.0947500000000003,2.0947500000000003,678792.0,678792.0,678792.0,678792.0,0.0,0.0
